,AOU,n_rutas,first_year,last_year,timeseries length,English_Common_Name,French_Common_Name,Order,Family,Genus,Species
571,6170,20447,1991,2023,32,Northern Rough-winged Swallow,Hirondelle à ailes hérissées,Passeriformes,Hirundinidae,Stelgidopteryx,serripennis
235,3100,17018,1995,2023,28,Wild Turkey,Dindon sauvage,Galliformes,Phasianidae,Meleagris,gallopavo
680,7280,16424,1987,2023,36,Red-breasted Nuthatch,Sittelle à poitrine rousse,Passeriformes,Sittidae,Sitta,canadensis
562,6100,16132,1994,2023,29,Summer Tanager,Piranga vermillon,Passeriformes,Cardinalidae,Piranga,rubra
337,4060,15322,1995,2023,28,Red-headed Woodpecker,Pic à tête rouge,Piciformes,Picidae,Melanerpes,erythrocephalus
732,22860,14951,1997,2023,26,Eurasian Collared-Dove,Tourterelle turque,Columbiformes,Columbidae,Streptopelia,decaocto
407,4660,13360,1991,2023,32,Willow Flycatcher,Moucherolle des saules,Passeriformes,Tyrannidae,Empidonax,traillii
535,5830,9401,1982,2023,41,Lincoln's Sparrow,Bruant de Lincoln,Passeriformes,Passerellidae,Melospiza,lincolnii
536,5840,9304,1987,2023,36,Swamp Sparrow,Bruant des marais,Passeriformes,Passerellidae,Melospiza,georgiana
396,4570,8747,1995,2023,28,Say's Phoebe,Moucherolle à ventre roux,Passeriformes,Tyrannidae,Sayornis,saya
269,3420,8469,1990,2023,33,Swainson's Hawk,Buse de Swainson,Accipitriformes,Accipitridae,Buteo,swainsoni
258,3310,8439,1982,2023,41,Northern Harrier,Busard des marais,Accipitriformes,Accipitridae,Circus,hudsonius
725,7680,7921,1991,2023,32,Mountain Bluebird,Merlebleu azuré,Passeriformes,Turdidae,Sialia,currucoides
147,2060,7908,1991,2023,32,Sandhill Crane,Grue du Canada,Gruiformes,Gruidae,Antigone,canadensis
668,7150,7830,1994,2023,29,Rock Wren,Troglodyte des rochers,Passeriformes,Troglodytidae,Salpinctes,obsoletus
299,3750,7551,1983,2023,40,Great Horned Owl,Grand-duc d'Amérique,Strigiformes,Strigidae,Bubo,virginianus
515,5620,7395,1991,2023,32,Brewer's Sparrow,Bruant de Brewer,Passeriformes,Passerellidae,Spizella,breweri
697,7380,7113,1991,2023,32,Mountain Chickadee,Mésange de Gambel,Passeriformes,Paridae,Poecile,gambeli
678,7260,6785,1995,2023,28,Brown Creeper,Grimpereau brun,Passeriformes,Certhiidae,Certhia,americana
621,6630,6602,1995,2023,28,Yellow-throated Warbler,Paruline à gorge jaune,Passeriformes,Parulidae,Setophaga,dominica
675,7222,6531,1994,2023,29,Winter Wren,Troglodyte des forêts,Passeriformes,Troglodytidae,Troglodytes,hiemalis
414,4690,6490,1991,2023,32,Dusky Flycatcher,Moucherolle sombre,Passeriformes,Tyrannidae,Empidonax,oberholseri
537,5850,6469,1982,2023,41,Fox Sparrow,Bruant fauve,Passeriformes,Passerellidae,Passerella,iliaca
39,540,6314,1991,2023,32,Ring-billed Gull,Goéland à bec cerclé,Charadriiformes,Laridae,Larus,delawarensis
278,3520,6105,1991,2023,32,Bald Eagle,Pygargue à tête blanche,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus
412,4680,5997,1991,2023,32,Hammond's Flycatcher,Moucherolle de Hammond,Passeriformes,Tyrannidae,Empidonax,hammondii
290,3680,5924,1996,2023,27,Barred Owl,Chouette rayée,Strigiformes,Strigidae,Strix,varia
594,6370,5727,1995,2023,28,Prothonotary Warbler,Paruline orangée,Passeriformes,Parulidae,Protonotaria,citrea
478,5210,5457,1991,2023,32,Red Crossbill,Bec-croisé des sapins,Passeriformes,Fringillidae,Loxia,curvirostra
681,7290,5395,1994,2023,29,Brown-headed Nuthatch,Sittelle à tête brune,Passeriformes,Sittidae,Sitta,pusilla
611,6540,5384,1994,2023,29,Black-throated Blue Warbler,Paruline bleue,Passeriformes,Parulidae,Setophaga,caerulescens
159,2210,5336,1991,2023,32,American Coot,Foulque d'Amérique,Gruiformes,Rallidae,Fulica,americana
66,1200,5227,1987,2023,36,Double-crested Cormorant,Cormoran à aigrettes,Suliformes,Phalacrocoracidae,Nannopterum,auritum
542,5900,5153,1996,2023,27,Green-tailed Towhee,Tohi à queue verte,Passeriformes,Passerellidae,Pipilo,chlorurus
525,5730,4966,1995,2023,28,Black-throated Sparrow,Bruant à gorge noire,Passeriformes,Passerellidae,Amphispiza,bilineata
596,6390,4496,1995,2023,28,Worm-eating Warbler,Paruline vermivore,Passeriformes,Parulidae,Helmitheros,vermivorum
656,7020,4496,1991,2023,32,Sage Thrasher,Moqueur des armoises,Passeriformes,Mimidae,Oreoscoptes,montanus
469,5120,4404,1996,2023,27,Great-tailed Grackle,Quiscale à longue queue,Passeriformes,Icteridae,Quiscalus,mexicanus
711,7540,4324,1991,2023,32,Townsend's Solitaire,Solitaire de Townsend,Passeriformes,Turdidae,Myadestes,townsendi
676,7240,4283,1991,2023,32,Sedge Wren,Troglodyte à bec court,Passeriformes,Troglodytidae,Cistothorus,stellaris
140,2000,4240,1996,2023,27,Little Blue Heron,Aigrette bleue,Pelecaniformes,Ardeidae,Egretta,caerulea
677,7250,4128,1993,2023,30,Marsh Wren,Troglodyte des marais,Passeriformes,Troglodytidae,Cistothorus,palustris
475,5180,4009,1995,2023,28,Cassin's Finch,Roselin de Cassin,Passeriformes,Fringillidae,Haemorhous,cassinii
90,1420,3975,1982,2023,41,Northern Shoveler,Canard souchet,Anseriformes,Anatidae,Spatula,clypeata
591,6330,3934,1996,2023,27,Bell's Vireo,Viréo de Bell,Passeriformes,Vireonidae,Vireo,bellii
224,3000,3927,1993,2023,30,Ruffed Grouse,Gélinotte huppée,Galliformes,Phasianidae,Bonasa,umbellus
558,6050,3912,1991,2023,32,Lark Bunting,Bruant noir et blanc,Passeriformes,Passerellidae,Calamospiza,melanocorys
626,6680,3841,1991,2023,32,Townsend's Warbler,Paruline de Townsend,Passeriformes,Parulidae,Setophaga,townsendi
195,2640,3777,1990,2023,33,Long-billed Curlew,Courlis à long bec,Charadriiformes,Scolopacidae,Numenius,americanus
245,3190,3724,1996,2023,27,White-winged Dove,Tourterelle à ailes blanches,Columbiformes,Columbidae,Zenaida,asiatica
597,6410,3692,1995,2023,28,Blue-winged Warbler,Paruline à ailes bleues,Passeriformes,Parulidae,Vermivora,cyanoptera
332,4021,3611,1991,2023,32,Red-naped Sapsucker,Pic à nuque rouge,Piciformes,Picidae,Sphyrapicus,nuchalis
86,1370,3606,1982,2023,41,American Wigeon,Canard d'Amérique,Anseriformes,Anatidae,Mareca,americana
246,3200,3530,1996,2023,27,Common Ground Dove,Colombe à queue noire,Columbiformes,Columbidae,Columbina,passerina
76,1290,3481,1990,2023,33,Common Merganser,Grand Harle,Anseriformes,Anatidae,Mergus,merganser
325,3960,3391,1996,2023,27,Ladder-backed Woodpecker,Pic arlequin,Piciformes,Picidae,Dryobates,scalaris
256,3290,3261,1996,2023,27,Mississippi Kite,Milan du Mississippi,Accipitriformes,Accipitridae,Ictinia,mississippiensis
368,4320,3242,1997,2023,26,Broad-tailed Hummingbird,Colibri à queue large,Apodiformes,Trochilidae,Selasphorus,platycercus
440,4910,3239,1995,2023,28,Clark's Nutcracker,Cassenoix d'Amérique,Passeriformes,Corvidae,Nucifraga,columbiana
87,1390,3234,1987,2023,36,Green-winged Teal,Sarcelle d'hiver,Anseriformes,Anatidae,Anas,crecca
645,6860,3213,1994,2023,29,Canada Warbler,Paruline du Canada,Passeriformes,Parulidae,Cardellina,canadensis
312,3850,3158,1996,2023,27,Greater Roadrunner,Grand Géocoucou,Cuculiformes,Cuculidae,Geococcyx,californianus
97,1490,2948,1993,2023,30,Lesser Scaup,Petit Fuligule,Anseriformes,Anatidae,Aythya,affinis
667,7130,2929,1996,2023,27,Cactus Wren,Troglodyte des cactus,Passeriformes,Troglodytidae,Campylorhynchus,brunneicapillus
36,510,2898,1987,2023,36,Herring Gull,Goéland argenté,Charadriiformes,Laridae,Larus,argentatus
126,1840,2892,1995,2023,28,White Ibis,Ibis blanc,Pelecaniformes,Threskiornithidae,Eudocimus,albus
585,6292,2869,1997,2023,26,Plumbeous Vireo,Viréo plombé,Passeriformes,Vireonidae,Vireo,plumbeus
277,3490,2839,1991,2023,32,Golden Eagle,Aigle royal,Accipitriformes,Accipitridae,Aquila,chrysaetos
480,5220,2699,1996,2023,27,White-winged Crossbill,Bec-croisé bifascié,Passeriformes,Fringillidae,Loxia,leucoptera
334,4030,2679,1996,2023,27,Red-breasted Sapsucker,Pic à poitrine rouge,Piciformes,Picidae,Sphyrapicus,ruber
183,2490,2667,1982,2023,41,Marbled Godwit,Barge marbrée,Charadriiformes,Scolopacidae,Limosa,fedoa
302,3780,2648,1996,2023,27,Burrowing Owl,Chevêche des terriers,Strigiformes,Strigidae,Athene,cunicularia
388,4480,2556,1996,2023,27,Cassin's Kingbird,Tyran de Cassin,Passeriformes,Tyrannidae,Tyrannus,vociferans
428,4813,2540,1995,2023,28,Woodhouse's Scrub-Jay,Geai de Woodhouse,Passeriformes,Corvidae,Aphelocoma,woodhouseii
403,4640,2534,1996,2023,27,(Cordilleran Flycatcher) Western Flycatcher,Moucherolle obscur (groupe occidentalis),Passeriformes,Tyrannidae,Empidonax,difficilis occidentalis
364,4290,2492,1996,2023,27,Black-chinned Hummingbird,Colibri à gorge noire,Apodiformes,Trochilidae,Archilochus,alexandri
415,4691,2475,1995,2023,28,Gray Flycatcher,Moucherolle gris,Passeriformes,Tyrannidae,Empidonax,wrightii
162,2240,2456,1990,2023,33,Wilson's Phalarope,Phalarope de Wilson,Charadriiformes,Scolopacidae,Phalaropus,tricolor
113,1670,2392,1993,2023,30,Ruddy Duck,Érismature rousse,Anseriformes,Anatidae,Oxyura,jamaicensis
276,3480,2372,1996,2023,27,Ferruginous Hawk,Buse rouilleuse,Accipitriformes,Accipitridae,Buteo,regalis
703,7460,2370,1996,2023,27,Verdin,Auripare verdin,Passeriformes,Remizidae,Auriparus,flaviceps
526,5738,2331,1991,2023,32,Sagebrush Sparrow,Bruant des armoises,Passeriformes,Passerellidae,Artemisiospiza,nevadensis
619,6610,2302,1987,2023,36,Blackpoll Warbler,Paruline rayée,Passeriformes,Parulidae,Setophaga,striata
523,5690,2301,1997,2023,26,(Gray-headed Junco) Dark-eyed Junco,Junco ardoisé (à tête grise),Passeriformes,Passerellidae,Junco,hyemalis caniceps
662,7070,2300,1996,2023,27,Curve-billed Thrasher,Moqueur à bec courbe,Passeriformes,Mimidae,Toxostoma,curvirostre
441,4920,2267,1995,2023,28,Pinyon Jay,Geai des pinèdes,Passeriformes,Corvidae,Gymnorhinus,cyanocephalus
459,5040,2203,1996,2023,27,Scott's Oriole,Oriole jaune-verdâtre,Passeriformes,Icteridae,Icterus,parisorum
488,5280,2198,1982,2023,41,Common Redpoll,Sizerin flammé,Passeriformes,Fringillidae,Acanthis,flammea
218,2950,2166,1996,2023,27,Gambel's Quail,Colin de Gambel,Galliformes,Odontophoridae,Callipepla,gambelii
93,1460,2110,1994,2023,29,Redhead,Fuligule à tête rouge,Anseriformes,Anatidae,Aythya,americana
216,2930,2091,1996,2023,27,Scaled Quail,Colin écaillé,Galliformes,Odontophoridae,Callipepla,squamata
98,1500,2047,1993,2023,30,Ring-necked Duck,Fuligule à collier,Anseriformes,Anatidae,Aythya,collaris
163,2250,2041,1990,2023,33,American Avocet,Avocette d'Amérique,Charadriiformes,Recurvirostridae,Recurvirostra,americana
360,4250,2013,1995,2023,28,White-throated Swift,Martinet à gorge blanche,Apodiformes,Apodidae,Aeronautes,saxatalis
682,7300,2000,1995,2023,28,Pygmy Nuthatch,Sittelle pygmée,Passeriformes,Sittidae,Sitta,pygmaea
89,1410,1986,1995,2023,28,Cinnamon Teal,Sarcelle cannelle,Anseriformes,Anatidae,Spatula,cyanoptera
44,590,1980,1982,2023,41,Franklin's Gull,Mouette de Franklin,Charadriiformes,Laridae,Leucophaeus,pipixcan
367,4310,1963,1991,2023,32,Anna's Hummingbird,Colibri d'Anna,Apodiformes,Trochilidae,Calypte,anna
595,6380,1942,1995,2023,28,Swainson's Warbler,Paruline de Swainson,Passeriformes,Parulidae,Limnothlypis,swainsonii
37,530,1927,1990,2023,33,California Gull,Goéland de Californie,Charadriiformes,Laridae,Larus,californicus
543,5910,1887,1997,2023,26,Canyon Towhee,Tohi des canyons,Passeriformes,Passerellidae,Melozone,fusca
669,7170,1885,1994,2023,29,Canyon Wren,Troglodyte des canyons,Passeriformes,Troglodytidae,Catherpes,mexicanus
248,3210,1838,1996,2023,27,Inca Dove,Colombe inca,Columbiformes,Columbidae,Columbina,inca
259,3320,1825,1991,2023,32,Sharp-shinned Hawk,Épervier brun,Accipitriformes,Accipitridae,Accipiter,striatus
629,6690,1814,1995,2023,28,Hermit Warbler,Paruline à tête jaune,Passeriformes,Parulidae,Setophaga,occidentalis
282,3570,1811,1993,2023,30,Merlin,Faucon émerillon,Falconiformes,Falconidae,Falco,columbarius
473,5150,1761,1991,2023,32,Pine Grosbeak,Durbec des sapins,Passeriformes,Fringillidae,Pinicola,enucleator
616,6580,1739,1996,2023,27,Cerulean Warbler,Paruline azurée,Passeriformes,Parulidae,Setophaga,cerulea
580,6260,1734,1993,2023,30,Philadelphia Vireo,Viréo de Philadelphie,Passeriformes,Vireonidae,Vireo,philadelphicus
187,2550,1712,1982,2023,41,Lesser Yellowlegs,Petit Chevalier,Charadriiformes,Scolopacidae,Tringa,flavipes
548,5940,1696,1996,2023,27,Pyrrhuloxia,Cardinal pyrrhuloxia,Passeriformes,Cardinalidae,Cardinalis,sinuatus
356,4210,1680,1996,2023,27,Lesser Nighthawk,Engoulevent minime,Caprimulgiformes,Caprimulgidae,Chordeiles,acutipennis
714,7570,1674,1983,2023,40,Gray-cheeked Thrush,Grive à joues grises,Passeriformes,Turdidae,Catharus,minimus
575,6200,1621,1996,2023,27,Phainopepla,Phénopèple luisant,Passeriformes,Ptiliogonatidae,Phainopepla,nitens
434,4870,1594,1996,2023,27,Chihuahuan Raven,Corbeau à cou blanc,Passeriformes,Corvidae,Corvus,cryptoleucus
280,3550,1587,1992,2023,31,Prairie Falcon,Faucon des prairies,Falconiformes,Falconidae,Falco,mexicanus
64,1180,1584,1997,2023,26,Anhinga,Anhinga d'Amérique,Suliformes,Anhingidae,Anhinga,anhinga
602,6440,1575,1997,2023,26,Virginia's Warbler,Paruline de Virginia,Passeriformes,Parulidae,Leiothlypis,virginiae
608,6500,1544,1996,2023,27,Cape May Warbler,Paruline tigrée,Passeriformes,Parulidae,Setophaga,tigrina
533,5800,1543,1996,2023,27,Rufous-crowned Sparrow,Tohi à calotte fauve,Passeriformes,Passerellidae,Aimophila,ruficeps
687,7331,1526,1997,2023,26,Juniper Titmouse,Mésange des genévriers,Passeriformes,Paridae,Baeolophus,ridgwayi
102,1530,1493,1993,2023,30,Bufflehead,Petit Garrot,Anseriformes,Anatidae,Bucephala,albeola
40,550,1471,1995,2023,28,Short-billed Gull,Goéland à bec court,Charadriiformes,Laridae,Larus,brachyrhynchus
436,4881,1459,1996,2023,27,unid. American Crow / Fish Crow,unid Corneille d'Amérique / Corneille de rivage,Passeriformes,Corvidae,Corvus,brachyrhynchos / ossifragus
212,2881,1433,1982,2023,41,Gray Partridge,Perdrix grise,Galliformes,Phasianidae,Perdix,perdix
654,7000,1412,1982,2023,41,Sprague's Pipit,Pipit de Sprague,Passeriformes,Motacillidae,Anthus,spragueii
496,5380,1410,1990,2023,33,Chestnut-collared Longspur,Plectrophane à ventre noir,Passeriformes,Calcariidae,Calcarius,ornatus
708,7520,1348,1996,2023,27,Black-tailed Gnatcatcher,Gobemoucheron à queue noire,Passeriformes,Polioptilidae,Polioptila,melanura
285,3620,1342,1996,2023,27,Crested Caracara,Caracara huppé,Falconiformes,Falconidae,Caracara,plancus
529,5750,1323,1995,2023,28,Bachman's Sparrow,Bruant des pinèdes,Passeriformes,Passerellidae,Peucaea,aestivalis
3,20,1308,1993,2023,30,Red-necked Grebe,Grèbe jougris,Podicipediformes,Podicipedidae,Podiceps,grisegena
341,4100,1274,1996,2023,27,Golden-fronted Woodpecker,Pic à front doré,Piciformes,Picidae,Melanerpes,aurifrons
600,6420,1240,1997,2023,26,Golden-winged Warbler,Paruline à ailes dorées,Passeriformes,Parulidae,Vermivora,chrysoptera
186,2540,1237,1995,2023,28,Greater Yellowlegs,Grand Chevalier,Charadriiformes,Scolopacidae,Tringa,melanoleuca
392,4530,1233,1996,2023,27,Brown-crested Flycatcher,Tyran de Wied,Passeriformes,Tyrannidae,Myiarchus,tyrannulus
344,4123,1231,1997,2023,26,(unid. Red / Yellow Shafted) Northern Flicker,Pic flamboyant (groupe non identifié),Piciformes,Picidae,Colaptes,auratus
335,4040,1220,1996,2023,27,Williamson's Sapsucker,Pic de Williamson,Piciformes,Picidae,Sphyrapicus,thyroideus
94,1470,1213,1993,2023,30,Canvasback,Fuligule à dos blanc,Anseriformes,Anatidae,Aythya,valisineria
330,4010,1211,1997,2023,26,American Three-toed Woodpecker,Pic à dos rayé,Piciformes,Picidae,Picoides,dorsalis
500,5450,1177,1982,2023,41,Baird's Sparrow,Bruant de Baird,Passeriformes,Passerellidae,Centronyx,bairdii
351,4180,1174,1996,2023,27,Common Poorwill,Engoulevent de Nuttall,Caprimulgiformes,Caprimulgidae,Phalaenoptilus,nuttallii
5,40,1140,1982,2023,41,Eared Grebe,Grèbe à cou noir,Podicipediformes,Podicipedidae,Podiceps,nigricollis
376,4402,1129,1996,2023,27,unid. hummingbird,unid Colibri sp.,Apodiformes,Trochilidae,Trochilid,sp.
158,2190,1124,1996,2023,27,Common Gallinule,Gallinule d'Amérique,Gruiformes,Rallidae,Gallinula,galeata
372,4360,1101,1991,2023,32,Calliope Hummingbird,Colibri calliope,Apodiformes,Trochilidae,Selasphorus,calliope
685,7320,1098,1996,2023,27,Black-crested Titmouse,Mésange à plumet noir,Passeriformes,Paridae,Baeolophus,atricristatus
253,3270,1083,1997,2023,26,Swallow-tailed Kite,Naucler à queue fourchue,Accipitriformes,Accipitridae,Elanoides,forficatus
601,6430,1082,1996,2023,27,Lucy's Warbler,Paruline de Lucy,Passeriformes,Parulidae,Leiothlypis,luciae
512,5590,1078,1997,2023,26,American Tree Sparrow,Bruant hudsonien,Passeriformes,Passerellidae,Spizelloides,arborea
565,6121,1060,1996,2023,27,Cave Swallow,Hirondelle à front brun,Passeriformes,Hirundinidae,Petrochelidon,fulva
0,10,1053,1991,2023,32,Western Grebe,Grèbe élégant,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis
289,3670,1041,1996,2023,27,Short-eared Owl,Hibou des marais,Strigiformes,Strigidae,Asio,flammeus
144,2030,1027,1997,2023,26,Yellow-crowned Night-Heron,Bihoreau violacé,Pelecaniformes,Ardeidae,Nyctanassa,violacea
189,2560,1007,1995,2023,28,Solitary Sandpiper,Chevalier solitaire,Charadriiformes,Scolopacidae,Tringa,solitaria
78,1310,1000,1996,2023,27,Hooded Merganser,Harle couronné,Anseriformes,Anatidae,Lophodytes,cucullatus
213,2882,992,1995,2023,28,Chukar,Perdrix choukar,Galliformes,Phasianidae,Alectoris,chukar
38,534,989,1990,2023,33,unid. gull,unid Goéland sp.,Charadriiformes,Laridae,Gull,sp.
460,5050,982,1996,2023,27,Hooded Oriole,Oriole masqué,Passeriformes,Icteridae,Icterus,cucullatus
417,4710,977,1997,2023,26,Vermilion Flycatcher,Moucherolle vermillon,Passeriformes,Tyrannidae,Pyrocephalus,rubinus
622,6640,959,1997,2023,26,Grace's Warbler,Paruline de Grace,Passeriformes,Parulidae,Setophaga,graciae
124,1810,955,1997,2023,26,Trumpeter Swan,Cygne trompette,Anseriformes,Anatidae,Cygnus,buccinator
466,5090,941,1995,2023,28,Rusty Blackbird,Quiscale rouilleux,Passeriformes,Icteridae,Euphagus,carolinus
655,7010,918,1996,2023,27,American Dipper,Cincle d'Amérique,Passeriformes,Cinclidae,Cinclus,mexicanus
447,4960,900,1996,2023,27,Bronzed Cowbird,Vacher bronzé,Passeriformes,Icteridae,Molothrus,aeneus
81,1330,895,1996,2023,27,American Black Duck,Canard noir,Anseriformes,Anatidae,Anas,rubripes
221,2971,874,1996,2023,27,Sooty Grouse,Tétras fuligineux,Galliformes,Phasianidae,Dendragapus,fuliginosus
342,4110,873,1997,2023,26,Gila Woodpecker,Pic des saguaros,Piciformes,Picidae,Melanerpes,uropygialis
502,5470,858,1996,2023,27,Henslow's Sparrow,Bruant de Henslow,Passeriformes,Passerellidae,Centronyx,henslowii
592,6340,858,1997,2023,26,Gray Vireo,Viréo gris,Passeriformes,Vireonidae,Vireo,vicinior
130,1880,857,1996,2023,27,Wood Stork,Tantale d'Amérique,Ciconiiformes,Ciconiidae,Mycteria,americana
49,640,823,1996,2023,27,Caspian Tern,Sterne caspienne,Charadriiformes,Laridae,Hydroprogne,caspia
32,470,800,1987,2023,36,Great Black-backed Gull,Goéland marin,Charadriiformes,Laridae,Larus,marinus
328,3990,797,1996,2023,27,White-headed Woodpecker,Pic à tête blanche,Piciformes,Picidae,Dryobates,albolarvatus
55,710,788,1997,2023,26,Arctic Tern,Sterne arctique,Charadriiformes,Laridae,Sterna,paradisaea
521,5677,762,1997,2023,26,(unid. race) Dark-eyed Junco,Junco ardoisé (groupe non identifié),Passeriformes,Passerellidae,Junco,hyemalis
